Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
8/21/2025,TSLY,TSLA 250822C00342500,BC,3000,0.17
8/21/2025,TSLY,TSLA 250822C00372500,S,3000,0.01
8/21/2025,TSLY,TSLA 250829C00332500,SS,4000,4.05
8/21/2025,TSLY,TSLA 250829C00352500,B,4000,0.99
8/21/2025,TSLY,TSLA 250829C00330000,SS,4000,4.78
8/21/2025,TSLY,TSLA 250829C00345000,B,4000,1.63
8/21/2025,TSLY,TSLA 250822C00342500,BC,5410,0.15
8/21/2025,TSLY,TSLA 250822C00340000,BC,6000,0.19
8/21/2025,TSLY,TSLA 250822C00365000,S,6000,0.01
8/21/2025,TSLY,TSLA 250822C00345000,BC,4500,0.15
8/21/2025,TSLY,TSLA 250822C00345000,BC,4500,0.16
8/21/2025,TSLY,TSLA 250822C00370000,S,4500,0.01
8/21/2025,TSLY,TSLA 250822C00370000,S,4500,0.02
8/21/2025,TSLY,TSLA 250822C00342500,BC,450,0.22
8/21/2025,TSLY,TSLA 250822C00372500,S,450,0.01
8/21/2025,TSLY,TSLA 250822C00342500,BC,2742,0.22
8/21/2025,TSLY,TSLA 250822C00365000,S,2742,0.02
8/21/2025,TSLY,TSLA 250829C00335000,SS,3825,3.9
8/21/2025,TSLY,TSLA 250829C00355000,B,3825,0.91
8/21/2025,TSLY,TSLA 250829C00332500,SS,3825,3.88
8/21/2025,TSLY,TSLA 250829C00355000,B,3825,0.8
8/21/2025,TSLY,TSLA 250822C00342500,BC,398,0.17
,,,,,
8/21/2025,OARK,ARKK 250829C00076000,SS,1000,0.91
8/21/2025,OARK,ARKK 250829C00079000,B,1000,0.35
8/21/2025,OARK,ARKK 250829C00075500,SS,1675,0.97
8/21/2025,OARK,ARKK 250829C00078500,B,1675,0.38
,,,,,
8/21/2025,APLY,AAPL 250822C00235000,BC,1640,0.06
8/21/2025,APLY,AAPL 250822C00242500,S,1640,0.01
8/21/2025,APLY,AAPL 250829C00230000,SS,1640,1.64
8/21/2025,APLY,AAPL 250829C00237500,B,1640,0.33
,,,,,
8/21/2025,NVDY,NVDA 250829C00182500,SS,10000,3.41
8/21/2025,NVDY,NVDA 250829C00192500,B,10000,1.32
8/21/2025,NVDY,NVDA 250822C00182500,BC,17700,0.09
8/21/2025,NVDY,NVDA 250822C00190000,S,17700,0.01
8/21/2025,NVDY,NVDA 250829C00185000,SS,10000,3.32
8/21/2025,NVDY,NVDA 250829C00195000,B,10000,1.28
8/21/2025,NVDY,NVDA 250829C00182500,SS,10000,3.42
8/21/2025,NVDY,NVDA 250829C00192500,B,10000,1.31
8/21/2025,NVDY,NVDA 250822C00182500,BC,16500,0.1
8/21/2025,NVDY,NVDA 250822C00190000,S,16500,0.02
,,,,,
8/21/2025,AMZY,AMZN 250822C00230000,BC,6995,0.07
8/21/2025,AMZY,AMZN 250822C00237500,S,6995,0.01
8/21/2025,AMZY,AMZN 250829C00225000,SS,6995,2.05
8/21/2025,AMZY,AMZN 250829C00230000,B,6995,0.77
,,,,,
8/21/2025,GOOY,GOOGL 250822C00217500,S,300,0.03
8/21/2025,GOOY,GOOGL 250822C00210000,BC,300,0.13
8/21/2025,GOOY,GOOGL 250829C00205000,SS,300,2.49
8/21/2025,GOOY,GOOGL 250829C00212500,B,300,0.84
8/21/2025,GOOY,GOOGL 250822C00210000,BC,3795,0.11
8/21/2025,GOOY,GOOGL 250822C00220000,S,3795,0.01
8/21/2025,GOOY,GOOGL 250829C00205000,SS,3795,2.38
8/21/2025,GOOY,GOOGL 250829C00212500,B,3795,0.79
,,,,,
8/21/2025,NFLY,NFLX 250822C01255000,BC,180,0.65
8/21/2025,NFLY,NFLX 250822C01280000,S,180,0.14
8/21/2025,NFLY,NFLX 250829C01237500,SS,180,10.51
8/21/2025,NFLY,NFLX 250829C01267500,B,180,3.74
8/21/2025,NFLY,NFLX 250822C01255000,BC,200,0.55
8/21/2025,NFLY,NFLX 250822C01280000,S,200,0.15
8/21/2025,NFLY,NFLX 250829C01235000,SS,200,10.92
8/21/2025,NFLY,NFLX 250829C01265000,B,200,4.02
,,,,,
8/21/2025,CONY,COIN 250822C00362500,S,3130,0.03
8/21/2025,CONY,COIN 250822C00335000,BC,3130,0.15
8/21/2025,CONY,COIN 250829C00322500,SS,3130,3.46
8/21/2025,CONY,COIN 250822C00335000,BC,4200,0.1
8/21/2025,CONY,COIN 250822C00362500,S,4200,0.02
8/21/2025,CONY,COIN 250829C00317500,SS,4200,4.69
8/21/2025,CONY,COIN 250829C00342500,B,4200,1.3
8/21/2025,CONY,COIN 250822C00332500,BC,4200,0.17
8/21/2025,CONY,COIN 250822C00362500,S,4200,0.05
8/21/2025,CONY,COIN 250822C00332500,BC,5010,0.12
8/21/2025,CONY,COIN 250822C00360000,S,5010,0.03
8/21/2025,CONY,COIN 250829C00315000,SS,5010,4.59
8/21/2025,CONY,COIN 250829C00340000,B,5010,1.23
8/21/2025,CONY,COIN 250822C00335000,BC,6000,0.11
,,,,,
8/21/2025,MSFO,MSFT 250829C00515000,SS,500,2.98
8/21/2025,MSFO,MSFT 250829C00525000,B,500,0.93
,,,,,
8/21/2025,XOMO,XOM 250822C00110000,S,1100,0.41
8/21/2025,XOMO,XOM 250822C00108000,BC,1100,1.7
8/21/2025,XOMO,XOM 250829C00111000,SS,1100,0.81
8/21/2025,XOMO,XOM 250829C00113000,B,1100,0.31
,,,,,
8/21/2025,AMDY,AMD 250919C00155000,B,1200,13.52
8/21/2025,AMDY,2AMD 250919P00155010,SS,1200,4.45
8/21/2025,AMDY,AMD 250829C00170000,SS,1200,2.24
8/21/2025,AMDY,AMD 250829C00180000,B,1200,0.57
8/21/2025,AMDY,AMD 250829C00170000,SS,2000,2.26
8/21/2025,AMDY,AMD 250829C00180000,B,2000,0.59
,,,,,
8/21/2025,PYPY,PYPL 250829C00069000,SS,1500,0.71
8/21/2025,PYPY,PYPL 250829C00071000,B,1500,0.27
8/21/2025,PYPY,PYPL 250829C00072000,B,2610,0.16
8/21/2025,PYPY,PYPL 250829C00069000,SS,2610,0.61
,,,,,
8/21/2025,XYZY,XYZ 250822C00077000,BC,3000,0.08
8/21/2025,XYZY,XYZ 250822C00080000,S,3000,0.01
8/21/2025,XYZY,XYZ 250829C00076000,SS,3000,0.85
8/21/2025,XYZY,XYZ 250829C00080000,B,3000,0.2
,,,,,
8/21/2025,MRNY,MRNA 250822C00028000,BC,5000,0.07
8/21/2025,MRNY,MRNA 250822C00030000,S,5000,0.12
8/21/2025,MRNY,MRNA 250829C00027000,SS,5000,0.46
8/21/2025,MRNY,MRNA 250829C00028500,B,5000,0.21
,,,,,
8/21/2025,AIYY,AI 250822C00018500,BC,12000,0.03
8/21/2025,AIYY,AI 250822C00020000,S,12000,0.01
8/21/2025,AIYY,AI 250822C00018500,BC,12605,0.02
8/21/2025,AIYY,AI 250822C00020000,S,12605,0.01
8/21/2025,AIYY,AI 250829C00017500,SS,12605,0.26
8/21/2025,AIYY,AI 250829C00019000,B,12605,0.08
,,,,,
8/21/2025,MSTY,MSTR 250919C00390000,S,1000,5.25
8/21/2025,MSTY,2MSTR 250919P00390010,BC,1000,58.5
8/21/2025,MSTY,MSTR 250822C00355000,BC,3320,0.59
,,,,,
8/21/2025,YBIT,MBTXW 250829C00280000,B,450,1.17
8/21/2025,YBIT,MBTXW 250829C00300000,SS,450,0.25
8/21/2025,YBIT,IBIT 250822C00067000,BC,4000,0.03
8/21/2025,YBIT,IBIT 250829C00066000,SS,4270,0.51
8/21/2025,YBIT,IBIT 250829C00066000,SS,5000,0.52
,,,,,
8/21/2025,GDXY,GDX 250822C00058000,BC,5000,1.48
8/21/2025,GDXY,GDX 250822C00060000,S,5000,0.23
8/21/2025,GDXY,GDX 250829C00061000,SS,5000,0.48
,,,,,
8/21/2025,SNOY,SNOW 251017C00200000,S,100,14.1
8/21/2025,SNOY,2SNOW 251017P00200010,BC,100,17.94
8/21/2025,SNOY,SNOW 250822C00202500,BC,100,0.18
8/21/2025,SNOY,SNOW 250822C00212500,S,100,0.02
8/21/2025,SNOY,SNOW 250822C00205000,BC,1050,0.11
8/21/2025,SNOY,SNOW 250822C00215000,S,1050,0.01
8/21/2025,SNOY,SNOW 250829C00220000,SS,1050,3.34
8/21/2025,SNOY,SNOW 250822C00205000,BC,1086,0.09
8/21/2025,SNOY,SNOW 250829C00220000,SS,1086,3.49
,,,,,
8/21/2025,FIAT,COIN 250919P00390000,B,100,91.7
8/21/2025,FIAT,2COIN 250919C00390020,SS,100,2.1
8/21/2025,FIAT,COIN 250829P00282500,SS,100,3.75
,,,,,
8/21/2025,BABO,BABA 250822C00132000,S,500,0.01
8/21/2025,BABO,BABA 250822C00125000,BC,500,0.06
8/21/2025,BABO,BABA 250829C00124000,SS,500,2.08
8/21/2025,BABO,BABA 250829C00131000,B,500,0.88
8/21/2025,BABO,BABA 250822C00125000,BC,500,0.1
8/21/2025,BABO,BABA 250822C00132000,S,500,0.08
8/21/2025,BABO,BABA 250829C00124000,SS,500,2.05
8/21/2025,BABO,BABA 250829C00131000,B,500,0.85
8/21/2025,BABO,BABA 250822C00125000,BC,595,0.05
8/21/2025,BABO,BABA 250822C00132000,S,595,0.01
8/21/2025,BABO,BABA 250829C00124000,SS,595,1.94
8/21/2025,BABO,BABA 250829C00131000,B,595,0.79
8/21/2025,BABO,BABA 250822C00124000,BC,880,0.07
8/21/2025,BABO,BABA 250822C00130000,S,880,0.02
8/21/2025,BABO,BABA 250822C00125000,BC,1000,0.12
