Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
8/22/2025,TSLY,TSLA 250919C00290000,S,602,51.7
8/22/2025,TSLY,2TSLA 250919P00290010,BC,602,2.9
8/22/2025,TSLY,TSLA 250829C00350000,SS,1808,3.83
8/22/2025,TSLY,TSLA 250829C00370000,B,1808,0.98
8/22/2025,TSLY,TSLA 250829C00347500,SS,2000,4.36
8/22/2025,TSLY,TSLA 250829C00367500,B,2000,1.08
8/22/2025,TSLY,TSLA 250822C00337500,BC,3000,0.17
8/22/2025,TSLY,TSLA 250822C00357500,S,3000,0.03
8/22/2025,TSLY,TSLA 250829C00342500,SS,3000,4.24
8/22/2025,TSLY,TSLA 250829C00360000,B,3000,1.22
8/22/2025,TSLY,TSLA 250829C00347500,SS,3000,4.15
8/22/2025,TSLY,TSLA 250829C00367500,B,3000,1.05
8/22/2025,TSLY,TSLA 250829C00335000,SS,4000,3.91
8/22/2025,TSLY,TSLA 250829C00355000,B,4000,0.85
8/22/2025,TSLY,TSLA 250829C00337500,SS,4000,4.78
8/22/2025,TSLY,TSLA 250829C00357500,B,4000,1.15
8/22/2025,TSLY,TSLA 250919C00295000,S,398,47.2
8/22/2025,TSLY,2TSLA 250919P00295010,BC,398,3.5
,,,,,
8/22/2025,OARK,ARKK 250829C00074000,BC,2000,3.48
8/22/2025,OARK,ARKK 250829C00076500,S,2000,1.75
8/22/2025,OARK,ARKK 250829C00077500,SS,2000,1.22
8/22/2025,OARK,ARKK 250829C00079500,B,2000,0.56
8/22/2025,OARK,ARKK 250829C00074500,BC,3000,3.18
8/22/2025,OARK,ARKK 250829C00079500,B,3000,0.62
8/22/2025,OARK,ARKK 250829C00077500,S,3000,1.3
8/22/2025,OARK,ARKK 250829C00077500,SS,3000,1.3
,,,,,
8/22/2025,APLY,AAPL 250829C00230000,SS,1060,1.86
8/22/2025,APLY,AAPL 250829C00235000,B,1060,0.6
,,,,,
8/22/2025,NVDY,NVDA 250829C00185000,SS,5350,3.36
8/22/2025,NVDY,NVDA 250829C00195000,B,5350,1.16
8/22/2025,NVDY,NVDA 250829C00185000,SS,10000,3.2
8/22/2025,NVDY,NVDA 250829C00195000,B,10000,1.17
8/22/2025,NVDY,NVDA 250829C00187500,SS,10000,2.53
8/22/2025,NVDY,NVDA 250829C00202500,B,10000,0.51
8/22/2025,NVDY,NVDA 250829C00187500,SS,10000,2.54
8/22/2025,NVDY,NVDA 250829C00202500,B,10000,0.5
8/22/2025,NVDY,NVDA 250829C00185000,SS,1690,3.38
